FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000,Sell,UBS SEC,1/2/2015,1/6/2015,3.3095
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1650000,Sell,CHINA CONSTRUCTION BANK,1/2/2015,1/6/2015,3.1227
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816,HUADIAN FUXIN ENERGY CORP LTD,5000000,Sell,CHINA CONSTRUCTION BANK,1/2/2015,1/6/2015,3.7554
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,658000,Sell,CITIGROUP,1/2/2015,1/6/2015,2.4448
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,4000000,Sell,CHINA CONSTRUCTION BANK,1/2/2015,1/6/2015,2.5294
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,20000,Sell,CHINA CONSTRUCTION BANK,1/2/2015,1/6/2015,2.539
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,2000000,Sell,CHINA CONSTRUCTION BANK,1/5/2015,1/7/2015,3.2107
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,2927400,Sell,CHINA CONSTRUCTION BANK,1/5/2015,1/7/2015,3.1789
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,707200,Sell,CHINA CONSTRUCTION BANK,1/5/2015,1/7/2015,2.3717
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,30000,Sell,CHINA CONSTRUCTION BANK,1/5/2015,1/7/2015,2.51
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6818,CHINA EVERBRIGHT BANK CO LTD,6195000,Buy,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,4.3
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,10000000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,0.4596
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,384,CHINA GAS HOLDINGS LTD,730000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,12.0103
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,3000000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,3.2413
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1922000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,3.1687
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,300000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,7.8789
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816,HUADIAN FUXIN ENERGY CORP LTD,5000000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,3.8222
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,460000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,2.3553
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,6000000,Sell,CHINA CONSTRUCTION BANK,1/6/2015,1/8/2015,2.5999
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,2000000,Sell,BANK OF AMERICA MERRILL,1/7/2015,1/9/2015,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,20000000,Sell,CHINA CONSTRUCTION BANK,1/7/2015,1/9/2015,0.4439
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,337,GREENLAND HONG KONG HOLDINGS LTD,136000,Sell,BANK OF AMERICA MERRILL,1/7/2015,1/9/2015,3.1054
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,384,CHINA GAS HOLDINGS LTD,470000,Sell,UBS SEC,1/7/2015,1/9/2015,12.0556
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000,Sell,CITIGROUP,1/7/2015,1/9/2015,3.2537
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1076000,Sell,UBS SEC,1/7/2015,1/9/2015,3.1526
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,76000,Sell,BANK OF AMERICA MERRILL,1/7/2015,1/9/2015,7.7279
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,3000000,Sell,BANK OF AMERICA MERRILL,1/7/2015,1/9/2015,2.6871
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,489,DONGFENG MOTOR GROUP CO LTD,1000000,Buy,CHINA CONSTRUCTION BANK,1/8/2015,1/12/2015,11.08
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,941,CHINA MOBILE LTD,49000,Buy,CHINA CONSTRUCTION BANK,1/8/2015,1/12/2015,93.3
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,10000000,Sell,CHINA CONSTRUCTION BANK,1/8/2015,1/12/2015,0.4913
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,3000000,Sell,BANK OF AMERICA MERRILL,1/8/2015,1/12/2015,3.1138
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,680000,Sell,BANK OF AMERICA MERRILL,1/8/2015,1/12/2015,2.3596
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,4000000,Sell,CHINA CONSTRUCTION BANK,1/8/2015,1/12/2015,8.7166
