FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,50000,Sell,BANK OF AMERICA MERRILL,1/8/2015,1/12/2015,2.527
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,13,HUTCHISON WHAMPOA LTD,200000,Buy,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,88.1518
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2313,SHENZHOU INTERNATIONAL GROUP HOLDINGS LTD,200000,Buy,CHINA INTL CAPITAL CORP,1/9/2015,1/13/2015,26.5415
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,1644500,Buy,HAITONG SECURITIES CO LTD,1/9/2015,1/13/2015,6.08
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,6000000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,0.5025
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,1500000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,3.4846
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,263000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,3.1001
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,406000,Sell,CHINA INTL CAPITAL CORP,1/9/2015,1/13/2015,7.4973
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816,HUADIAN FUXIN ENERGY CORP LTD,1500000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,4.1754
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,81500,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,2.351
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869,PLAYMATES TOYS LTD,140000,Sell,CHINA INTL CAPITAL CORP,1/9/2015,1/13/2015,1.6137
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,5903000,Sell,HAITONG SECURITIES CO LTD,1/9/2015,1/13/2015,8.6897
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,1500000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,2.8731
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115,TIBET 5100 WATER RESOURCES HOLDINGS LTD,366000,Sell,CHINA INTL CAPITAL CORP,1/9/2015,1/13/2015,2.8502
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,20000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,2.5625
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,564000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,5.2145
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,568000,Sell,CHINA CONSTRUCTION BANK,1/9/2015,1/13/2015,6.163
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,200000,Sell,CHINA INTL CAPITAL CORP,1/9/2015,1/13/2015,2.7791
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,1000000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,7170000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,0.49
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,337,GREENLAND HONG KONG HOLDINGS LTD,150000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,3.05
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,946000,Sell,BOCI SECURITIES,1/12/2015,1/14/2015,3.4003
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,10000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,7.3
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826,TIANGONG INTERNATIONAL CO LTD,700000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,1.2785
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869,PLAYMATES TOYS LTD,100000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,1.5996
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,882,TIANJIN DEVELOPMENT HOLDINGS LTD,162000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,5.8209
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,3500000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,8.5375
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,3590200,Sell,BOCI SECURITIES,1/12/2015,1/14/2015,2.7269
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,1801800,Sell,BOCI SECURITIES,1/12/2015,1/14/2015,2.7269
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115,TIBET 5100 WATER RESOURCES HOLDINGS LTD,400000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,2.803
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1385,SHANGHAI FUDAN MICROELECTRONICS GROUP CO LTD,100000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,6.002
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,200000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,0.986
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3636,POLY CULTURE GROUP CORP LTD,43400,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,26.327
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,246000,Sell,CHINA CONSTRUCTION BANK,1/12/2015,1/14/2015,6.104
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,388,HONG KONG EXCHANGES & CLEARING LTD,80000,Buy,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,179.2738
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1044,HENGAN INTERNATIONAL GROUP CO LTD,41500,Buy,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,80.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2319,CHINA MENGNIU DAIRY CO LTD,300000,Buy,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,33.9
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2388,BOC HONG KONG HOLDINGS LTD,500000,Buy,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,26.0875
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,1000000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,540000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,3.4013
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1419000,Sell,CITIGROUP,1/13/2015,1/15/2015,3.1102
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,206000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,7.2041
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826,TIANGONG INTERNATIONAL CO LTD,700000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,1.2849
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829,SHENGUAN HOLDINGS GROUP LTD,6000,Sell,BOCI SECURITIES,1/13/2015,1/15/2015,2.35
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869,PLAYMATES TOYS LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,1.7068
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,896000,Sell,CITIGROUP,1/13/2015,1/15/2015,8.5219
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,2000000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,2.7215
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068,CHINA YURUN FOOD GROUP LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,3.15
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115,TIBET 5100 WATER RESOURCES HOLDINGS LTD,24000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,2.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,30000,Sell,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,2.5427
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,0.9845
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,1000000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,5.0922
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,150000,Sell,CHINA CONSTRUCTION BANK,1/13/2015,1/15/2015,6.0904
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/13/2015,1/15/2015,2.7501
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1044,HENGAN INTERNATIONAL GROUP CO LTD,140000,Buy,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,80.4998
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2319,CHINA MENGNIU DAIRY CO LTD,110000,Buy,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,33.4955
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,1000000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,0.631
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,4500000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,3.4594
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,4000000,Sell,CHINA CONSTRUCTION BANK,1/14/2015,1/16/2015,3.1615
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826,TIANGONG INTERNATIONAL CO LTD,700000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,1.2676
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869,PLAYMATES TOYS LTD,400000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,1.647
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,3500000,Sell,CHINA CONSTRUCTION BANK,1/14/2015,1/16/2015,8.5307
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068,CHINA YURUN FOOD GROUP LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,3.1576
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,20000,Sell,CHINA CONSTRUCTION BANK,1/14/2015,1/16/2015,2.526
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,0.9844
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,112000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,5.1339
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,150000,Sell,CHINA CONSTRUCTION BANK,1/14/2015,1/16/2015,5.9895
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,131000,Sell,HAITONG SECURITIES CO LTD,1/14/2015,1/16/2015,2.7515
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1918,SUNAC CHINA HOLDINGS LTD,2000000,Buy,HAITONG SECURITIES CO LTD,1/15/2015,1/19/2015,7.0933
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,1000000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,0.62
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579,BEIJING JINGNENG CLEAN ENERGY CO LTD,4000000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,3.4161
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1260000,Sell,CHINA CONSTRUCTION BANK,1/15/2015,1/19/2015,3.1069
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754,HOPSON DEVELOPMENT HOLDINGS LIMITED,44000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,7.1609
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,826,TIANGONG INTERNATIONAL CO LTD,360000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,1.25
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869,PLAYMATES TOYS LTD,128000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,1.6131
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,2201000,Sell,BANK OF AMERICA MERRILL,1/15/2015,1/19/2015,8.7153
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,4000000,Sell,BANK OF AMERICA MERRILL,1/15/2015,1/19/2015,8.6739
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,2500000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,2.8
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068,CHINA YURUN FOOD GROUP LTD,44000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,3.1586
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,20000,Sell,CHINA CONSTRUCTION BANK,1/15/2015,1/19/2015,2.495
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,200000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,0.9813
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018,AAC TECHNOLOGIES HOLDINGS INC,200000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,45.6179
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018,AAC TECHNOLOGIES HOLDINGS INC,100000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,45.6179
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,1000000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,5.0274
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,150000,Sell,BANK OF AMERICA MERRILL,1/15/2015,1/19/2015,5.9688
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,200000,Sell,CHINA EVERBRIGHT SECURITI,1/15/2015,1/19/2015,2.8103
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,2000000,Sell,CHINA CONSTRUCTION BANK,1/16/2015,1/20/2015,0.47
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182,CHINA WINDPOWER GROUP LTD,2000000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,0.462
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1982000,Sell,CHINA CONSTRUCTION BANK,1/16/2015,1/20/2015,3.1045
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,4000000,Sell,BANK OF AMERICA MERRILL,1/16/2015,1/20/2015,8.5124
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,2500000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,2.6928
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370,HENGSHI MINING INVESTMENTS LTD,20000,Sell,CHINA CONSTRUCTION BANK,1/16/2015,1/20/2015,2.49
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,0.98
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018,AAC TECHNOLOGIES HOLDINGS INC,200000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,46.0338
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,150000,Sell,CHINA CONSTRUCTION BANK,1/16/2015,1/20/2015,5.8068
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,300000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,2.8873
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,200000,Sell,HAITONG SECURITIES CO LTD,1/16/2015,1/20/2015,2.8873
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1816,CGN POWER CO LTD,850000,Buy,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,3.0765
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2388,BOC HONG KONG HOLDINGS LTD,300000,Buy,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,26.0506
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,1406000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,0.6001
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916,CHINA LONGYUAN POWER GROUP CORP,19000,Sell,CHINA CONSTRUCTION BANK,1/19/2015,1/21/2015,8.5011
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958,HUANENG RENEWABLES CORP LTD,1324000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,2.6744
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068,CHINA YURUN FOOD GROUP LTD,292000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,3.0202
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900,CHINA ITS HOLDINGS CO LTD,300000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,0.9839
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018,AAC TECHNOLOGIES HOLDINGS INC,70000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,45.9029
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3636,POLY CULTURE GROUP CORP LTD,37700,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,25.5886
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836,CHINA HARMONY AUTO HOLDING LTD,150000,Sell,CHINA CONSTRUCTION BANK,1/19/2015,1/21/2015,5.4228
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899,OURGAME INTERNATIONAL HOLDINGS LTD,207000,Sell,HAITONG SECURITIES CO LTD,1/19/2015,1/21/2015,2.9292
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,489,DONGFENG MOTOR GROUP CO LTD,500000,Buy,ESSENCE INTERNATIONAL SEC,1/20/2015,1/22/2015,11.3809
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1816,CGN POWER CO LTD,2000000,Buy,ESSENCE INTERNATIONAL SEC,1/20/2015,1/22/2015,3.1368
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82,V1 GROUP LTD,2000000,Sell,ESSENCE INTERNATIONAL SEC,1/20/2015,1/22/2015,0.6004
