FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,4000000.0,Sell,CHINA CONSTRUCTION BANK,42012.0,42016.0,8.7166
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,50000.0,Sell,BANK OF AMERICA MERRILL,42012.0,42016.0,2.527
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,13.0,HUTCHISON WHAMPOA LTD,200000.0,Buy,CHINA CONSTRUCTION BANK,42013.0,42017.0,88.1518
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2313.0,SHENZHOU INTERNATIONAL GROUP HOLDINGS LTD,200000.0,Buy,CHINA INTL CAPITAL CORP,42013.0,42017.0,26.5415
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,1644500.0,Buy,HAITONG SECURITIES CO LTD,42013.0,42017.0,6.08
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,6000000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,0.5025
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,579.0,BEIJING JINGNENG CLEAN ENERGY CO LTD,1500000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,3.4846
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,263000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,3.1001
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,754.0,HOPSON DEVELOPMENT HOLDINGS LIMITED,406000.0,Sell,CHINA INTL CAPITAL CORP,42013.0,42017.0,7.4973
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,816.0,HUADIAN FUXIN ENERGY CORP LTD,1500000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,4.1754
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,829.0,SHENGUAN HOLDINGS GROUP LTD,81500.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,2.351
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,869.0,PLAYMATES TOYS LTD,140000.0,Sell,CHINA INTL CAPITAL CORP,42013.0,42017.0,1.6137
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,5903000.0,Sell,HAITONG SECURITIES CO LTD,42013.0,42017.0,8.6897
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,1500000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,2.8731
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1115.0,TIBET 5100 WATER RESOURCES HOLDINGS LTD,366000.0,Sell,CHINA INTL CAPITAL CORP,42013.0,42017.0,2.8502
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,20000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,2.5625
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357.0,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,564000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,5.2145
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,568000.0,Sell,CHINA CONSTRUCTION BANK,42013.0,42017.0,6.163
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,200000.0,Sell,CHINA INTL CAPITAL CORP,42013.0,42017.0,2.7791
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,1000000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,0.63
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,7170000.0,Sell,CHINA CONSTRUCTION BANK,42016.0,42018.0,0.49
